"organisation_name","title","awarded_value","description"
"Birmingham City Council","P0547 - Young People's Substance Misuse Treatment Service - AWARD",1346000,"The Council wishes to establish a Contract for the provision of Young People's Substance Misuse Treatment Service:
      
      This will be a community based high quality, evidence based specialist substance misuse treatment service for young people under-18 years of age and resident in Birmingham who are experiencing substance related harm. The service will be rooted in a strengths and asset-based approach that, in addition to delivering interventions focused on the substance misuse itself, also develops young people's resilience, their life skills and their ability to make better choices and deal with difficulties.
      
      The Contract will last for 2 years (unless terminated under the terms and conditions of contract) with the provision to extend for up to an additional two years subject to requirements and satisfactory performance.
      
      The contract will be awarded to one supplier.
      
      Note that the Council is Procuring a contract for these services for itself only and the contract will be awarded to one supplier. 
      
      The Council will be using its free to use e-tendering system (in-tend) for the administration of this procurement process and potential suppliers must register with the system to be able to express an interest. If you wish to express an interest in this opportunity please click on the following link to access https://in-tendhost.co.uk/birminghamcc/ and submit your details to register. You will then be sent details on how to log on which will enable you to download all relevant Invitation to Tender (ITT) documentation.  
      
      Please note TUPE will apply to this contract.  The TUPE information will be released to you upon receipt of a signed copy of Appendix 5 - P0457 TUPE Confidentiality Agreement.  You are advised to fill this in as soon as possible on receipt and return via https://in-tendhost.co.uk/birminghamcc
      
      If you are unable to register with In-tend or have any questions or problems on how to use this web site please either email us at: cps@birmingham.gov.uk or call CPS Helpdesk on 0121 464 8000. Your completed tender submission should be returned by noon 9th May 2019 via the 'in-tend' system https://in-tendhost.co.uk/birminghamcc"
"London Borough of Hammersmith & Fulham","Hammersmith & Fulham Young People&apos;s Integrated Substance Misuse and Sexual Health (ISMASH) Service",1400000,"Hammersmith and Fulham Council awards a contract for the provision of an Integrated Substance Misuse
and Sexual Health (ISMASH) Service for Young People. H&F aims to help young people become the best
versions of themselves with the opportunity to be become prosperous. Some of our most vulnerable
young people face additional barriers which impact their ability to flourish. H&F aims to remove some of
these barriers and is developing an integrated service for substance misuse and sexual health to reduce
young people partaking in risky behaviours and minimise the harms that these behaviours can cause."
"Derbyshire County Council","CPH084 Children and Young People Affected by the Substance Use of Others",1400000,"TThe Council is commissioning a service to support children and young people aged 18 and under who are affected by the substance use of others to commence 01 April 2024 with an initial period of 3 years with an option to extend for three 24-month periods and a final extension period of one year; a total maximum contract term of 10 years, subject to performance and evaluation.\r
\r
Derbyshire County Council is committed to reducing the harm caused by substance use and\r
recognises the need to provide world-class support services for those children and young\r
people who are affected by the substance use of others.\r
\r
The aim of the service is to provide high quality, age-appropriate and evidence-based interventions to strengthen protective and resilience factors, improve emotional health and wellbeing, reduce harm, and develop coping strategies for children and young people (aged 5-18 years) who are affected by another person's substance use (drugs and alcohol).\r
\r
This service must be locally managed and co-ordinated to ensure that it meets the needs of local children and young people and other stakeholders.\r
\r
There will be a 6-month mobilisation period from the contract award date\r
"
"Sefton Council","Adult Community Substance Misuse:  Assessment,Treatment and Recovery Service",1500000,"Sefton Council are looking to commission a fully integrated Adult Community Substance Misuse Assessment, Treatment and Recovery Service. The service will provide a central role within Sefton’s Substance Misuse Treatment System and will be responsible for delivering a range of both clinical and non-clinical interventions including but not limited to:
•	Comprehensive Assessment, Care Planning and Care Plan Review
•	Community Opiate Substitution Treatment (OST) Programmes
•	Medically Assisted Recovery (MAR) and Medically assisted Withdrawal Programmes
•	Community Substance Misuse (drugs and alcohol) Detoxification Programmes
•	Recovery Orientated  Treatment Care Packages and Care Pathways
•	Alcohol Brief Interventions and Extended Brief Interventions
•	Psychosocial Interventions and support appropriate to the level of individual need
•	A comprehensive range of Harm Reduction and Health Protection Interventions; including Needle and Syringe Programmes, Blood Borne Virus testing, vaccination and treatment referral
•	Robust assurance frameworks for Clinical and Information Governance and Safeguarding for Adults and Children

The Service will work in collaboration with Health and Social Care Partners from Adult and Children’s Social Care, Primary Care and General Practice, Clinical Commissioning Groups and Medicines Management, Criminal Justice and Community Safety Partners, Local Authority Housing Options Team and other Local Authority Commissioned Services, Local Employment Support Services including commissioned Education, Training and Employment Support Services, Local Hospitals and Secondary Care and the Local Community, Voluntary and Faith Sector including Community Based Recovery Support and Mutual Aid Groups.

The Service will be flexible and responsive to local need as well as  changing patterns of Substance Misuse. Interventions will be underpinned by a clear and recognised evidence base with both clinical and psychological interventions delivered, overseen and supervised by qualified staff with current Professional Registration. Service development, improvement and delivery will follow the key principles of ‘Co-production’ with the involvement, influence and contributions made by Service Users and Peer Mentors being recognised and rewarded through clearly managed, supervised and structured volunteer programmes.

Service performance outcomes will be measured against the Public Health Outcomes Framework (PHOF), National and Local Health Protection Priorities, Life Course Improvements and Positive Family  Focused  Outcomes."
"Rochdale Metropolitan Borough Council","Rochdale Borough Children, Young People and Families' Substance Misuse Treatment Service UID 4781",1500000,"We are looking for a dynamic, innovative and pro-active organisation(s) with an extensive knowledge of the vulnerabilities and complexities of children and families within the field of substance misuse, both generally and in Rochdale, and with a proven track record of delivery of specialist services. Prevention and early intervention is a key priority. The service is expected to utilise strengthening emotional and social resilience of our young people as the enabler to address substance misuse. The service will be expected to consider the family unit in its widest sense and to work holistically with all relevant parties and other agencies to co-ordinate packages of care that best meet those needs but that also recognise strengths and assets. 
The core aim of this service is to deliver a range of interventions to educate and raise awareness of substance misuse (Tier 1), intervene early to divert people away from misusing substances (Tier 2) and where misuse of substances is more deeply entrenched, to provide a range of specialist, evidence based treatment interventions (Tier 3) to enable individuals and their families to recover and sustain a life free from dependency.
The service contract is from 1st April 2020 until 31st March 2022 with an option to extend annually until 31st March 2025. 
For any further information, please refer to the service specification and tender documentation. The maximum annual budget available for these services is £300k per annum.
The tender is being undertaken under the OJUE Light Touch Regime.
Full details of the Specification and tender Evaluation criteria can be found in the tender documentation available from the Chest website at:
https://www.the-chest.org.uk/"
"London Borough of Southwark","Integrated Health Service for Young People (Sexual Health and Substance Misuse)",1503333,"Southwark Council is seeking to invite competitive tenders for the provision of an Integrated Health Service for Young People (Sexual Health & Substance Misuse) located within the geographical boundaries of the London Borough of Southwark. 

Our vision for the provision of the service is for a dynamic and innovative integrated young people's wellbeing service offer, inclusive of interventions tailored to sexual health, alcohol, drugs and holistic health assessment, which will serve the needs of young people up to their 25th birthday.

The service will comprise of one lot inclusive of both sexual health and substance misuse treatment provision and it is anticipated that the contract will be awarded to a single provider or lead provider as part of a consortia arrangement. There is a requirement for all bidders who wish to express an interest in the service, including all parties in consortia, to complete a Selection Questionnaire, further details of which will be supplied at the Bidders' Event. 

A maximum annual contract value of up to, and including, £451,000 is offered with a mandatory percentage division between both types of service provision set out in the tender documents. It is expected that the contract will commence on Friday 1 December 2017 for an initial period of three years & four months (with an option to extend for one further period of one year at the discretion of the council). It is the authority's view that the provisions of the European Council Directive 2001/23/23/EC of 12 March 2001 TUPE will apply.

An initial Bidders' Event will take place at 9.30am (for 10am start) on Wednesday 12th April 2017 at Southwark Council, 160 Tooley Street, London, SE1 2QH. 

Please register your intention to attend the Bidders' Event via email: AdminDAAT@southwark.gov.uk by 4pm on Monday 10th April 2017. Places are limited to a maximum of 2 representatives per organisation. 

The tender will be conducted using e-procurement via London Portals. Interested organisations can register at https://procontract.due-north.com 

For any questions regarding this tender please email: AdminDAAT@southwark.gov.uk 

It is anticipated that the tender will be posted on London Portals on Monday 3rd April 2017."
"Dorset Council","PAUSE Dorset",1519750.51,"Public Health Dorset are commissioning a delivery organisation to set-up a Pause Practice and deliver the Pause programme. Pause is a licensed programme that is delivered using a social franchising approach. This means that while the programme is delivered by a local delivery organisation it will look, feel and be branded the same as other Pause Practice's in the network.  

Pause is an evidenced based national programme for women who have experienced, and are at risk of experiencing, repeat removals of children from their care. The programme aims to give women the chance to pause and take control of their lives. 

The aim of the Pause service is to give women an opportunity and support to 'pause' and take control over their lives, to improve their wellbeing, resilience and stability. This helps them set in place strong foundations on which they can build a more positive future for themselves. 

The service will contribute to a reduction in future numbers of infants brought into care and the disruption of trans-generational cycles of poor outcomes experienced by some of the most vulnerable families in our community.

Women who experience repeat removals often have complex needs which are not currently being addressed.  They experience trauma and grief associated with the removal of their children, they may suffer from domestic abuse, mental health illnesses or substance misuse and they may have built up a mistrust towards children's social care services, resulting in poor engagement with existing support services.  

Tenders are welcome from:
1. Delivery partner - either a single provider model or a lead provider model (partners who wish to collaborate together for the provision of this service, where the contract is between the commissioner and the lead provider).
2. Social outcomes partnerships - a provider organisation(s) may seek to source and work with a social outcomes partnership/investment bond funding provider.

"
"NHS Commercial Solutions","Healthcare at Swanwick Lodge Secure Children’s Home",1710292,"NHS England South Central is planning a procurement for Primary Healthcare including GP and primary care and Children and Adolescent Mental Health secondary care for Swanwick Lodge – a 16 bed secure children’s home. The contract spend for 2014/15 is £216,000 for all services but only covers a 9-5 primary care service.  We are looking for bids for a 24/7 primary care service and CAMHS service as per the service specifications.
NHS England South Central are seeking to commission an outcome focused primary healthcare and secondary CAMHS service, equivalent to that available to the local community, for Swanwick Lodge Secure Children’s Home. Swanwick Lodge is a purpose built local authority secure children’s home with mixed gender units, providing care for children aged between 10 and 17 years who are either remanded or sentenced by the criminal courts (Youth Justice Placements) or detained under s25 of the Children Act 1989 (Welfare Placements). The service is regulated by Ofsted (and is currently rated ‘Good’) and monitored by the Youth Justice Board against a block placement contract.  
Bids must reflect the unique operation and specialist environment in which the service is to be delivered. It is envisioned that the contract will be delivered advocating a fully integrated prime provider model approach. The services to be provided include: 
•	GP Provision 
•	Primary Care Nursing and Admin service
•	Optometry 
•	Physiotherapy (external referral)
•	Podiatry (external referral)
•	Mental Health provision including Specialist CAMHS 
•	Sexual Health Services 
•	Health Promotion and Prevention including immunisations
•	Dental 
•	Dietetics and nutrition 

The services will exclude:
•	Substance Misuse Provision 

The Provider will be able to demonstrate the ability to provide management information from the system to ensure efficient access and where appropriate decommis-sion services that are not required. The successful Bidder will be expected to realise the opportunities to reduce health inequalities in minority groups such as BME Groups and those with a Learning Disability by improving access with the best use of services and minimising inappropriate out of prison activity. 
Neither the Commissioner nor potential providers will be obligated to further commitment as a result of any initial expressions of interest. The Commissioner shall not be committed to any course of action as a result of issuing this advert or any invitation to participate or to submit a Bid Response in respect of this Procurement. The Commissioner shall not be bound to accept any Bid and reserves the right not to conclude a Contract for some or all of the Service(s) for which Bids are invited with one or more Bidders. The Commissioner reserves the right to amend, add to or withdraw all or any part of this Procurement at any time during the process.
There will be a bidder event to be held at Swanwick Lodge on Thursday 30th April, registration details are attached."
"Bradford Metropolitan District Council","Tender for Families First and Targeted Specialist Support for Young People",1720000,"Bradford Council wish to procure a keyworker service for vulnerable families living in Bradford & District that meet the national 'Troubled Families' criteria and the locally set criteria. Providers will provide key work support through a 'Think Family Model;' with one worker, one family, one plan.
This service will be a key part of the work in the Bradford District to achieve the outcomes required for families as part of the 'Troubled Families' payment by results programme.
As part of  the whole family approach we are also asking that Providers will provide targeted youth support for children and young people (age 8-13) within a family where additional needs have been identified .
Bradford Families First aims to support families and young people who are experiencing a mixture of problems in their lives which include:
•	parents or children involved in crime or anti-social behaviour
•	children who have gone missing from home or education
•	children who are not attending school regularly
•	children who need help; that is children of all ages, who are identified as in need of a targeted early help intervention
•	adults out of work or at risk of financial exclusion or young people at risk of worklessness
•	families affected by domestic violence or abuse
•	parents or children with a range of physical and mental health problems
•	housing and debt problems
•	substance misuse issues"
"Sefton Council","The Provision of a Sefton Council Young People and Families Substance use Service",1750000,"Sefton Public Health are seeking to commission an integrated model of young people's and families substance use service , combining universal, targeted and specialist substance use treatment for young people aligned with family focused interventions where parental substance use is a factor. The service is an important part of the local substance use treatment system providing support to some of the Boroughs most vulnerable young people and families.

The specialist integrated substance use service for young people and families will support the ambition within the 2021 national 10-year drug strategy - From Harm to Hope, for 50% more young people to receive specialist substance use interventions, preventing longer term use into adulthood. 
"
